Race_ID,Race_Name,Driver_ID,Driver_Ref,Pit_Stop_Count,Pitted_On_Lap,Pit_Stop_Duration,Avg_Pit_Stop_Secs,Grid,Constructor_ID,Constructor_Nationality,Constructor_Name,Circuit_ID,Circuit_Name,Circuit_Country,Altitude_Metres,Race_Year,Status_ID,Race_Finish_Status,Fastest_Lap_Speed_KMH,Driver_Total_Points,Driver_Overall_Standing,Driver_Total_Wins,Avg_Lap_Time_Secs
894,Korean Grand Prix,818,vergne,2.0,24,23.845,23,16.0,5,Italian,Toro Rosso,35,Korean International Circuit,Korea,0,2013,12,+2 Laps,194.197,13,15,0,113.0
968,Abu Dhabi Grand Prix,1,hamilton,2.0,28,21.355,21,1.0,131,German,Mercedes,24,Yas Marina Circuit,UAE,3,2016,1,Finished,190.174,380,2,10,106.0
936,Hungarian Grand Prix,833,merhi,3.0,41,23.207,23,19.0,209,British,Manor Marussia,11,Hungaroring,Hungary,264,2015,12,+2 Laps,175.497,0,19,0,94.0
1060,Austrian Grand Prix,852,tsunoda,2.0,51,26.604,26,7.0,213,Italian,AlphaTauri,70,Red Bull Ring,Austria,678,2021,11,+1 Lap,227.08,9,14,0,71.0
890,Hungarian Grand Prix,823,garde,3.0,44,22.384,22,20.0,207,Malaysian,Caterham,11,Hungaroring,Hungary,264,2013,12,+2 Laps,180.302,0,21,0,90.0
898,United States Grand Prix,154,grosjean,1.0,29,23.876,23,3.0,208,British,Lotus F1,69,Circuit of the Americas,USA,161,2013,1,Finished,197.588,132,7,0,106.0
1011,Bahrain Grand Prix,822,bottas,2.0,37,24.433,24,4.0,131,German,Mercedes,3,Bahrain International Circuit,Bahrain,7,2019,1,Finished,206.808,44,1,1,98.0
880,Australian Grand Prix,154,grosjean,3.0,37,22.534,22,8.0,208,British,Lotus F1,1,Albert Park Grand Prix Circuit,Australia,10,2013,1,Finished,211.193,1,10,0,94.0
976,Azerbaijan Grand Prix,832,sainz,3.0,22,0.0,1313,15.0,5,Italian,Toro Rosso,73,Baku City Circuit,Azerbaijan,-7,2017,1,Finished,204.133,29,9,0,146.0
911,Belgian Grand Prix,828,ericsson,1.0,11,24.083,24,22.0,207,Malaysian,Caterham,13,Circuit de Spa-Francorchamps,Belgium,401,2014,11,+1 Lap,217.553,0,18,0,118.0
934,British Grand Prix,8,raikkonen,3.0,47,30.178,30,5.0,6,Italian,Ferrari,9,Silverstone Circuit,UK,153,2015,11,+1 Lap,217.529,76,5,0,107.0
895,Japanese Grand Prix,817,ricciardo,3.0,44,24.178,24,16.0,5,Italian,Toro Rosso,22,Suzuka Circuit,Japan,45,2013,11,+1 Lap,220.008,18,14,0,99.0
1021,Hungarian Grand Prix,847,russell,1.0,16,21.333,21,15.0,3,British,Williams,11,Hungaroring,Hungary,264,2019,12,+2 Laps,191.435,0,20,0,84.0
933,Austrian Grand Prix,20,vettel,1.0,36,31.882,31,3.0,6,Italian,Ferrari,70,Red Bull Ring,Austria,678,2015,1,Finished,217.815,120,3,1,75.0
918,Abu Dhabi Grand Prix,8,raikkonen,1.0,6,21.546,21,7.0,6,Italian,Ferrari,24,Yas Marina Circuit,UAE,3,2014,1,Finished,185.586,55,12,0,109.0
953,Monaco Grand Prix,20,vettel,1.0,13,25.114,25,4.0,6,Italian,Ferrari,6,Circuit de Monaco,Monaco,7,2016,1,Finished,154.005,60,5,0,91.0
957,British Grand Prix,837,haryanto,2.0,17,30.135,30,19.0,209,British,Manor Marussia,9,Silverstone Circuit,UK,153,2016,20,Spun off,209.189,0,23,0,128.0
903,Chinese Grand Prix,820,chilton,1.0,12,23.781,23,21.0,206,Russian,Marussia,17,Shanghai International Circuit,China,5,2014,12,+2 Laps,190.751,0,18,0,107.0
944,Brazilian Grand Prix,4,alonso,2.0,32,23.218,23,20.0,1,British,McLaren,18,Aut+¦dromo Jos+® Carlos Pace,Brazil,785,2015,11,+1 Lap,202.726,11,17,0,78.0
890,Hungarian Grand Prix,17,webber,2.0,43,22.349,22,10.0,9,Austrian,Red Bull,11,Hungaroring,Hungary,264,2013,1,Finished,187.603,105,5,0,87.0
918,Abu Dhabi Grand Prix,20,vettel,2.0,46,21.611,21,19.0,9,Austrian,Red Bull,24,Yas Marina Circuit,UAE,3,2014,1,Finished,189.427,167,5,0,108.0
1054,Portuguese Grand Prix,844,leclerc,2.0,3,22.587,22,8.0,6,Italian,Ferrari,75,Aut+¦dromo Internacional do Algarve,Portugal,108,2021,1,Finished,205.541,28,5,0,86.0
1044,Turkish Grand Prix,839,ocon,1.0,1,25.719,25,7.0,4,French,Renault,5,Istanbul Park,Turkey,130,2020,11,+1 Lap,190.254,40,12,0,107.0
959,German Grand Prix,815,perez,1.0,8,19.233,19,9.0,10,Indian,Force India,10,Hockenheimring,Germany,103,2016,11,+1 Lap,206.848,48,8,0,82.0
1013,Azerbaijan Grand Prix,846,norris,2.0,39,22.08,22,7.0,1,British,McLaren,73,Baku City Circuit,Azerbaijan,-7,2019,1,Finished,205.047,12,9,0,109.0
1025,Russian Grand Prix,844,leclerc,1.0,22,29.548,29,1.0,6,Italian,Ferrari,71,Sochi Autodrom,Russia,2,2019,1,Finished,218.86,215,3,2,105.0
985,United States Grand Prix,826,kvyat,1.0,17,24.883,24,11.0,5,Italian,Toro Rosso,69,Circuit of the Americas,USA,161,2017,11,+1 Lap,196.559,5,19,0,102.0
942,United States Grand Prix,815,perez,1.0,19,26.458,26,5.0,10,Indian,Force India,69,Circuit of the Americas,USA,161,2015,1,Finished,192.668,64,9,0,118.0
895,Japanese Grand Prix,20,vettel,2.0,37,22.873,22,2.0,9,Austrian,Red Bull,22,Suzuka Circuit,Japan,45,2013,1,Finished,219.322,297,1,9,97.0
909,German Grand Prix,817,ricciardo,1.0,13,19.05,19,5.0,9,Austrian,Red Bull,10,Hockenheimring,Germany,103,2014,1,Finished,203.676,106,3,1,84.0
930,Spanish Grand Prix,13,massa,3.0,47,22.257,22,9.0,3,British,Williams,4,Circuit de Barcelona-Catalunya,Spain,109,2015,1,Finished,185.429,39,6,0,92.0
897,Abu Dhabi Grand Prix,814,resta,1.0,20,22.27,22,11.0,10,Indian,Force India,24,Yas Marina Circuit,UAE,3,2013,1,Finished,189.007,48,10,0,107.0
893,Singapore Grand Prix,823,garde,2.0,26,37.7,37,20.0,207,Malaysian,Caterham,15,Marina Bay Street Circuit,Singapore,18,2013,11,+1 Lap,162.12,0,21,0,119.0
932,Canadian Grand Prix,18,button,1.0,1,18.057,18,20.0,1,British,McLaren,7,Circuit Gilles Villeneuve,Canada,13,2015,31,Retired,199.092,4,17,0,81.0
969,Australian Grand Prix,840,stroll,2.0,29,22.38,22,20.0,3,British,Williams,1,Albert Park Grand Prix Circuit,Australia,10,2017,23,Brakes,213.569,0,16,0,92.0
897,Abu Dhabi Grand Prix,822,bottas,2.0,45,26.68,26,15.0,3,British,Williams,24,Yas Marina Circuit,UAE,3,2013,11,+1 Lap,191.607,0,18,0,108.0
881,Malaysian Grand Prix,20,vettel,3.0,32,21.482,21,1.0,9,Austrian,Red Bull,2,Sepang International Circuit,Malaysia,18,2013,1,Finished,198.661,40,1,1,105.0
955,European Grand Prix,815,perez,1.0,16,20.614,20,7.0,10,Indian,Force India,73,Baku City Circuit,Azerbaijan,-7,2016,1,Finished,201.988,39,8,0,109.0
942,United States Grand Prix,1,hamilton,2.0,43,24.088,24,2.0,131,German,Mercedes,69,Circuit of the Americas,USA,161,2015,1,Finished,197.014,327,1,10,118.0
936,Hungarian Grand Prix,815,perez,5.0,45,32.181,32,13.0,10,Indian,Force India,11,Hungaroring,Hungary,264,2015,22,Suspension,178.212,15,13,0,94.0
